id,split,V,A,D,text,fil_text_5,emotion_features,emotions
110CYL068_1036_1079,train,0.0,0.0,0.10000000000000009,"Remember what she said in my last letter? """,Remember what she said in my last letter? ,"(0.0, 0.0, 0.10000000000000009)",Reprehensible
110CYL068_1079_1110,test,-0.10000000000000009,0.050000000000000044,-0.10000000000000009,If I wasn't working here.,If I wasnt working here.,"(-0.10000000000000009, 0.050000000000000044, -0.10000000000000009)",Repentant
110CYL068_1137_1188,train,0.21999999999999997,0.0,0.1100000000000001,Goodwill helps people get off of public assistance.,Goodwill helps people get off of public assistance.,"(0.21999999999999997, 0.0, 0.1100000000000001)",Modest
110CYL068_1189_1328,train,0.2749999999999999,0.135,0.22999999999999998,Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.,[NAME] learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.,"(0.2749999999999999, 0.135, 0.22999999999999998)",Aloof
110CYL068_1475_1558,train,0.30000000000000004,0.1499999999999999,0.3999999999999999,Coming to Goodwill was the first step toward my becoming totally independent.,Coming to Goodwill was the first step toward my becoming totally independent.,"(0.30000000000000004, 0.1499999999999999, 0.3999999999999999)",Serious
110CYL068_1559_1601,train,0.0,0.0,0.050000000000000044,"I am now... totally off of welfare.""",I am now totally off of welfare.,"(0.0, 0.0, 0.050000000000000044)",Reprehensible
110CYL068_1608_1658,train,0.050000000000000044,0.050000000000000044,0.050000000000000044,Goodwill prepares people for life-long employment.,Goodwill prepares people for lifelong employment.,"(0.050000000000000044, 0.050000000000000044, 0.050000000000000044)",Reprehensible
110CYL068_163_275,train,0.125,-0.06000000000000005,0.0,"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.","Heres another story of success from what might seem like an unlikely source Goodwills controller, [NAME].","(0.125, -0.06000000000000005, 0.0)",Reserved
110CYL068_1659_1810,train,0.125,0.0,0.125,Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.,Cornell found a number of employment options that he never dreamed existed after a worksite injury forced him out of his job at a foundry.,"(0.125, 0.0, 0.125)",Aloof
110CYL068_1811_1946,dev,0.125,-0.06000000000000005,0.06000000000000005,"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """,He trained in desktop publishing and combined his enthusiastic work ethic with newfound skills in a burgeoning industry. ,"(0.125, -0.06000000000000005, 0.06000000000000005)",Modest
110CYL068_18_24,train,0.0,-0.18999999999999995,0.0,"Dear ,","Dear ,","(0.0, -0.18999999999999995, 0.0)",Reserved
110CYL068_1946_1997,test,0.135,0.17999999999999994,0.17999999999999994,"I've got more than a job; I've got a career.""",Ive got more than a job Ive got a career.,"(0.135, 0.17999999999999994, 0.17999999999999994)",Aloof
110CYL068_2040_2141,train,0.2849999999999999,0.14500000000000002,0.14500000000000002,"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. ""","After a lifetime of trials, [NAME] not only earned her GED at Goodwill, she earned a job here. ","(0.2849999999999999, 0.14500000000000002, 0.14500000000000002)",Cooperative
