id,split,V,A,D,text,fil_text_5
110CYL068_1036_1079,train,3.0,3.0,3.2,"Remember what she said in my last letter? """,Remember what she said in my last letter? 
110CYL068_1079_1110,test,2.8,3.1,2.8,If I wasn't working here.,If I wasnt working here.
110CYL068_1137_1188,train,3.44,3.0,3.22,Goodwill helps people get off of public assistance.,Goodwill helps people get off of public assistance.
110CYL068_1189_1328,train,3.55,3.27,3.46,Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.,[NAME] learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.
110CYL068_1475_1558,train,3.6,3.3,3.8,Coming to Goodwill was the first step toward my becoming totally independent.,Coming to Goodwill was the first step toward my becoming totally independent.
110CYL068_1559_1601,train,3.0,3.0,3.1,"I am now... totally off of welfare.""",I am now totally off of welfare.
110CYL068_1608_1658,train,3.1,3.1,3.1,Goodwill prepares people for life-long employment.,Goodwill prepares people for lifelong employment.
110CYL068_163_275,train,3.25,2.88,3.0,"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.","Heres another story of success from what might seem like an unlikely source Goodwills controller, [NAME]."
110CYL068_1659_1810,train,3.25,3.0,3.25,Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.,Cornell found a number of employment options that he never dreamed existed after a worksite injury forced him out of his job at a foundry.
110CYL068_1811_1946,dev,3.25,2.88,3.12,"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """,He trained in desktop publishing and combined his enthusiastic work ethic with newfound skills in a burgeoning industry. 
110CYL068_18_24,train,3.0,2.62,3.0,"Dear ,","Dear ,"
110CYL068_1946_1997,test,3.27,3.36,3.36,"I've got more than a job; I've got a career.""",Ive got more than a job Ive got a career.
110CYL068_2040_2141,train,3.57,3.29,3.29,"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. ""","After a lifetime of trials, [NAME] not only earned her GED at Goodwill, she earned a job here. "
110CYL068_2141_2194,train,2.88,3.0,3.25,I rode a bike to Goodwill in the rain and snow.,I rode a bike to Goodwill in the rain and snow.
110CYL068_2195_2216,train,2.7,3.3,2.9,I wanted to be there.,I wanted to be there.
110CYL068_2216_2266,train,3.5,3.5,3.75,"..I had my second chance to change my life.""",I had my second chance to change my life.
110CYL068_2273_2373,train,3.63,3.25,3.37,Your gift to Goodwill will help the many people who want to tell their own stories of success.,Your gift to Goodwill will help the many people who want to tell their own stories of success.
110CYL068_2374_2413,train,3.7,3.4,3.3,Your support will help them go to work.,Your support will help them go to work.
110CYL068_2420_2501,train,3.5,3.4,3.2,Please use the enclosed envelope to give a generous gift to Goodwill today!,Please use the enclosed envelope to give a generous gift to Goodwill today!
110CYL068_2508_2518,train,3.14,2.86,3.14,"Sincerely,","Sincerely,"
110CYL068_2525_2582,train,3.1,2.5,3.2,"William A Carter, Chairman Goodwill Industries Foundation","[NAME], Chairman Goodwill Industries Foundation"
110CYL068_2589_2593,train,3.0,2.43,3.0,P.S.,P.S.
110CYL068_2594_2642,train,3.5,2.87,3.25,Your gift is a wise investment in the community.,Your gift is a wise investment in the community.
110CYL068_2643_2750,train,3.88,3.37,3.38,"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102.","For every dollar donated to Goodwill in 1998, we helped our graduates earn an estimated 102."
110CYL068_2751_2841,train,3.25,3.12,3.25,"That money was then spent in a variety of ways, adding fuel to our thriving economy.","That money was then spent in a variety of ways, adding fuel to our thriving economy."
110CYL068_276_386,dev,3.7,3.1,3.3,"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars.","She tells me that the 3,666 people we helped find jobs in 1998 earned approximately 49 million dollars."
110CYL068_31_156,train,3.4,3.0,3.1,A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.,A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwills help.
110CYL068_387_522,train,3.37,3.18,3.37,"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.","In addition to that, by helping them find jobs, Goodwill reduced the states Public Support tab by an estimated 4 million."
110CYL068_523_653,train,3.6,2.9,3.4,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.
110CYL068_660_695,train,3.0,2.55,2.82,What kind of work does Goodwill do?,What kind of work does [NAME] do?
110CYL068_702_771,train,3.29,3.0,3.0,Goodwill finds jobs for people with mental and physical disabilities.,Goodwill finds jobs for people with mental and physical disabilities.
110CYL068_778_1035,train,3.43,3.29,3.29,"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.","After [NAME] job coach taught her how to do her job in a restaurant, we helped [NAME] step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society."
110CYL069_1152_1284,train,3.6,3.2,3.2,"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:","Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community"
110CYL069_1285_1401,train,3.4,3.2,3.0,"The business community welcomes not only another worker, but a consumer with increased purchasing power.","The business community welcomes not only another worker, but a consumer with increased purchasing power."
110CYL069_1402_1477,train,3.0,2.9,3.2,Parents act as role models of self-sufficiency instead of dependency.,Parents act as role models of selfsufficiency instead of dependency.
110CYL069_1478_1554,train,3.12,3.0,3.0,Tax dollars that would have been spent on public assistance are saved.,Tax dollars that would have been spent on public assistance are saved.
110CYL069_1561_1631,train,2.7,2.8,3.4,You and I know that solutions to difficult problems don't just happen.,You and I know that solutions to difficult problems dont just happen.
110CYL069_1638_1786,train,3.8,3.4,3.3,"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:","At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day"
110CYL069_1793_1857,dev,3.0,2.62,3.12,A Goodwill staff member addresses a group of welfare recipients:,A Goodwill staff member addresses a group of welfare recipients
110CYL069_1858_1935,dev,3.0,2.86,3.29,"""You can earn the money to support yourself and your family,"" she says.","You can earn the money to support yourself and your family, she says."
110CYL069_18_35,train,3.1,3.1,3.1,"November 15, 1996","November 15, 1996"
110CYL069_1936_1967,train,3.0,3.1,3.2,"""You can get off welfare.",You can get off welfare.
110CYL069_1968_1985,train,3.12,3.0,3.37,I know you can...,I know you can
110CYL069_1986_1993,train,3.1,3.1,3.2,"I did.""",I did.
110CYL069_2000_2165,train,3.0,2.86,3.14,A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.,A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.
110CYL069_207_260,train,2.82,2.73,3.27,His job objectives call for him to do it in 30.,His job objectives call for him to do it in 30.
110CYL069_2166_2322,train,3.46,3.55,3.18,"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.","once his tears have subsided, he confirms what his classmates have already figured out he just received a job offer  his first in five years."
110CYL069_2329_2471,train,3.27,3.09,3.18,"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.","Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs."
110CYL069_2552_2596,train,3.09,2.91,3.0,At the next corner he tells five more.,At the next corner he tells five more.
110CYL069_2603_2727,train,3.11,2.89,3.0,"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.","In order to develop job skills, a man with some serious disabilities begins working in Goodwills industrial division."
110CYL069_267_291,test,2.86,3.29,3.29,He has no time to waste.,He has no time to waste.
110CYL069_2728_2826,train,2.62,2.88,2.88,It takes a long time for him to gain the self-confidence to work elsewhere in the community.,It takes a long time for him to gain the selfconfidence to work elsewhere in the community.
110CYL069_2833_2895,train,3.11,3.0,3.22,"Eventually, he turns your support into a payoff for all of us.","Eventually, he turns your support into a payoff for all of us."
110CYL069_2896_2948,dev,3.5,3.17,3.33,He proudly leaves Goodwill to support himself.,He proudly leaves Goodwill to support himself.
110CYL069_2955_2997,train,3.25,3.12,3.5,These people and their successes are real.,These people and their successes are real.
110CYL069_298_312,train,3.0,3.0,3.2,Neither do we.,Neither do we.
110CYL069_2998_3069,train,3.0,2.8,3.1,Just like the respect we've earned from U.S. News & World Report.,Just like the respect weve earned from U.S. News  World Report.
110CYL069_313_453,test,3.4,3.1,3.4,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.","With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society."
110CYL069_3141_3151,train,3.0,3.1,3.2,Real work.,Real work.
110CYL069_3152_3165,test,3.0,2.6,3.1,Real results.,Real results.
110CYL069_3166_3231,train,3.1,3.2,3.1,A real difference in people's lives -- in all of our lives.,A real difference in peoples lives  in all of our lives.
110CYL069_3238_3328,train,3.12,3.25,3.38,The people who can benefit most directly from your generosity have no time to waste.,The people who can benefit most directly from your generosity have no time to waste.
110CYL069_3329_3408,train,3.56,3.11,3.11,Neither do the rest of us who feel the positive results of their success.,Neither do the rest of us who feel the positive results of their success.
110CYL069_3409_3451,test,3.4,2.9,3.0,Your support helps provide real solutions.,Your support helps provide real solutions.
110CYL069_3458_3552,dev,3.0,3.0,3.0,Please use the enclosed response card and envelope to give generously to Goodwill today.,Please use the enclosed response card and envelope to give generously to Goodwill today.
110CYL069_3559_3569,dev,3.1,2.9,3.0,"Sincerely,","Sincerely,"
110CYL069_3590_3635,train,3.0,2.75,3.0,Jack Dustman Board Member and Former Chairman,[NAME] Member and Former Chairman
110CYL069_460_512,train,3.29,3.29,3.57,We don't waste time as we are helping the community.,We dont waste time as we are helping the community.
110CYL069_513_544,train,3.1,3.0,3.5,And we don't waste money.,And we dont waste money.
110CYL069_545_682,test,3.2,3.0,2.9,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.","The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs."
110CYL069_689_842,train,3.57,3.43,3.29,"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys.""","In their December, 1995 review of the nations best charities, U.S. News  World Report called Goodwill one of the five Standout Good Guys."
110CYL069_69_206,train,3.4,3.1,3.4,"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.","In the short while since Goodwill helped him find his job, [NAME] has learned to thoroughly clean a motel room in about 40 minutes."
